id,title,category,description,image_url,link,posted
1jmBaBvk8rKoV5rvARPayvd010U_CW_gp,כניסה לשירותים ציבוריים,טבע דומם,כיור וינטג' תלוי על קיר בין שתי דלתות עתיקות,https://drive.google.com/thumbnail?id=1jmBaBvk8rKoV5rvARPayvd010U_CW_gp&sz=w600,https://amitphotos.com,FALSE
1Lin1fkPbPPkPq79TeljA6LDLv_rzG1F9,מכולות משא צבעוניות,טבע דומם,שתי מכולות משא צהובה ואדומה עם נעליים וציוד אחסון,https://drive.google.com/thumbnail?id=1Lin1fkPbPPkPq79TeljA6LDLv_rzG1F9&sz=w600,https://amitphotos.com,FALSE
1_rxjKeg8Fm-Pr37s3uHbT5po91HwCT0f,אוסף בקבוקי יין ירוקים,טבע דומם,שורות של בקבוקי יין ירוקים מסודרים בתא אחסון קר וקוטו,https://drive.google.com/thumbnail?id=1_rxjKeg8Fm-Pr37s3uHbT5po91HwCT0f&sz=w600,https://amitphotos.com,FALSE
1FD7o7nYN8Semdl2W2eaE7_mEHiKpbHCM,חלון לבן על כחול,טבע דומם,חלון תריס לבן עם פריטים על רקע קיר כחול עתיק,https://drive.google.com/thumbnail?id=1FD7o7nYN8Semdl2W2eaE7_mEHiKpbHCM&sz=w600,https://amitphotos.com,FALSE
1urStD-M6I3FRdNOOBg22Kn0N6-csR3L5,חלון כחול עתיק,טבע דומם,חלון כחול בשיטור עץ עם ידיות מתכת על קיר בהיר,https://drive.google.com/thumbnail?id=1urStD-M6I3FRdNOOBg22Kn0N6-csR3L5&sz=w600,https://amitphotos.com,FALSE
1VxjOZ0V3dyUIRAtzHNkSVoWpNykkNw8d,חלון בקיר אדום,טבע דומם,חלון עם משקופים אפורים בקיר מטויח בצבע אדום עוגבי,https://drive.google.com/thumbnail?id=1VxjOZ0V3dyUIRAtzHNkSVoWpNykkNw8d&sz=w600,https://amitphotos.com,FALSE
1rPOKfINEQiiwQSkoflezhxgLH0WI1ygG,טקסטורות וצבעים מופשטים אמנות,טבע דומם,,https://drive.google.com/thumbnail?id=1rPOKfINEQiiwQSkoflezhxgLH0WI1ygG&sz=w600,https://amitphotos.com,FALSE
1PO8ftae1KQLyfWLF58mYeHcBmv4_9fz6,חפצי וינטג' טבע דומם קומפוזיציה,טבע דומם,,https://drive.google.com/thumbnail?id=1PO8ftae1KQLyfWLF58mYeHcBmv4_9fz6&sz=w600,https://amitphotos.com,FALSE
1mkj7yjz3I-Y951ZoHVSH_-6v8FjL66ap,חלון כחול על קיר צהוב,טבע דומם,חלון אליפטי כחול עם מסגרת חומה על רקע קיר צהוב,https://drive.google.com/thumbnail?id=1mkj7yjz3I-Y951ZoHVSH_-6v8FjL66ap&sz=w600,https://amitphotos.com,FALSE
13xVSea2recyRuCOKwzzRZntXwPMJHWoz,גיאומטריה בצבעים,טבע דומם,קומפוזיציה מינימליסטית של צורות גיאומטריות בכחול ואדום,https://drive.google.com/thumbnail?id=13xVSea2recyRuCOKwzzRZntXwPMJHWoz&sz=w600,https://amitphotos.com,FALSE
